Deduplication ID,Time Seconds,Tenant ID,Tenant Name,Application ID,Application Name,Device Profile ID,Device Profile Name,Device Name,Dev EUI,Dev Addr,Dr,fPort,Data Hex,rxInfo Gateway ID,rxInfo Uplink ID,rxInfo RSSI,rxInfo SNR,rxInfo Context,txInfo Frequency,Modulation-lora txInfo Bandwidth,Modulation-lora Spreading Factor,Modulation-lora Code Rate
83938884-9fcf-4b50-94df-d1fead41e84e,1692874687,eb7c6dbd-d130-46e7-9251-f399590b4861,ELoRa-1,8d8f1071-469e-40ca-8896-a19b59d79b51,Ns-3 Application,09e154e1-d36e-4685-9f44-2687c0be4f1a,Ns-3 Device Profile,Device 5,0001000000000005,02000003,2,1,3e,0001000000000001,38113,-122,-5.0,b'\x1ab\x8c\xf6',868100000,125000,10,1
a0c775f9-3737-4089-a7cb-9ab2cd23dab6,1692874717,eb7c6dbd-d130-46e7-9251-f399590b4861,ELoRa-1,8d8f1071-469e-40ca-8896-a19b59d79b51,Ns-3 Application,09e154e1-d36e-4685-9f44-2687c0be4f1a,Ns-3 Device Profile,Device 5,0001000000000005,02000003,2,1,50,0001000000000001,36996,-112,4.699999809265137,"b'\x1c,P\x8a'",868500000,125000,10,1
12a27025-b750-432c-b644-5d22bce197c9,1692874747,eb7c6dbd-d130-46e7-9251-f399590b4861,ELoRa-1,8d8f1071-469e-40ca-8896-a19b59d79b51,Ns-3 Application,09e154e1-d36e-4685-9f44-2687c0be4f1a,Ns-3 Device Profile,Device 5,0001000000000005,02000003,2,1,29,0001000000000001,9795,-122,-4.900000095367432,b'\x1d\xf6\x14\x12',868500000,125000,10,1
77041b4a-2eea-4954-85c7-ffcdc9148045,1692874777,eb7c6dbd-d130-46e7-9251-f399590b4861,ELoRa-1,8d8f1071-469e-40ca-8896-a19b59d79b51,Ns-3 Application,09e154e1-d36e-4685-9f44-2687c0be4f1a,Ns-3 Device Profile,Device 5,0001000000000005,02000003,2,1,75,0001000000000001,8382,-120,-2.5,b'\x1f\xbf\xd7\xae',868300000,125000,10,1
58c7bef3-f34e-4ed6-8c07-717393611e1c,1692874779,eb7c6dbd-d130-46e7-9251-f399590b4861,ELoRa-1,8d8f1071-469e-40ca-8896-a19b59d79b51,Ns-3 Application,09e154e1-d36e-4685-9f44-2687c0be4f1a,Ns-3 Device Profile,Device 8,0001000000000008,02000006,4,1,105f1ca117fb5ef7de0063fef76fdfab1cc3e7ee4ef38a67,0001000000000001,31295,-116,1.5,b'\x1f\xd9\xf7>',867700000,125000,8,1
43e444ec-81fb-4d3c-9e20-db8f5f0a34dc,1692874807,eb7c6dbd-d130-46e7-9251-f399590b4861,ELoRa-1,8d8f1071-469e-40ca-8896-a19b59d79b51,Ns-3 Application,09e154e1-d36e-4685-9f44-2687c0be4f1a,Ns-3 Device Profile,Device 5,0001000000000005,02000003,2,1,a1,0001000000000001,3171,-132,-15.5,b'!\x89\x9b\x0b',867500000,125000,10,1
b3c1bdbd-327b-4b6d-be62-9d67335b865d,1692874837,eb7c6dbd-d130-46e7-9251-f399590b4861,ELoRa-1,8d8f1071-469e-40ca-8896-a19b59d79b51,Ns-3 Application,09e154e1-d36e-4685-9f44-2687c0be4f1a,Ns-3 Device Profile,Device 5,0001000000000005,02000003,2,1,09,0001000000000001,37585,-115,1.899999976158142,b'#S^\x99',867300000,125000,10,1
2624c770-b41f-486c-b31a-856700771ef6,1692874867,eb7c6dbd-d130-46e7-9251-f399590b4861,ELoRa-1,8d8f1071-469e-40ca-8896-a19b59d79b51,Ns-3 Application,09e154e1-d36e-4685-9f44-2687c0be4f1a,Ns-3 Device Profile,Device 5,0001000000000005,02000003,2,1,32,0001000000000001,27830,-116,0.8999999761581421,"b'%\x1d""\x14'",867100000,125000,10,1
3df52add-5477-435f-930f-8755292f208d,1692874897,eb7c6dbd-d130-46e7-9251-f399590b4861,ELoRa-1,8d8f1071-469e-40ca-8896-a19b59d79b51,Ns-3 Application,09e154e1-d36e-4685-9f44-2687c0be4f1a,Ns-3 Device Profile,Device 5,0001000000000005,02000003,2,1,ef,0001000000000001,38112,-121,-4.400000095367432,b'&\xe6\xe5\x8e',868100000,125000,10,1
4e1fdd6f-d0f5-409d-a51f-eeb0de130acd,1692874927,eb7c6dbd-d130-46e7-9251-f399590b4861,ELoRa-1,8d8f1071-469e-40ca-8896-a19b59d79b51,Ns-3 Application,09e154e1-d36e-4685-9f44-2687c0be4f1a,Ns-3 Device Profile,Device 5,0001000000000005,02000003,2,1,30,0001000000000001,20018,-112,5.0,b'(\xb0\xa9\x1c',867300000,125000,10,1
